naics3,exposure,workers,industry_name,msa
221,0.13294323326304114,25630,"Utilities (Electric, Gas, Water)",Philadelphia
23,0.06842671704022413,178766,Construction,Philadelphia
311,0.09711830803778478,23478,Food Manufacturing,Philadelphia
323,0.0765646160569231,10806,Printing & Related Support,Philadelphia
325,0.1561908681166316,73746,Chemical Mfg (Pharma & Basic),Philadelphia
332,0.09171013117844418,19274,Fabricated Metal Product Mfg,Philadelphia
333,0.11621105696307336,16775,Machinery Manufacturing,Philadelphia
334,0.140353992300701,12422,Computer & Electronic Product Mfg,Philadelphia
336,0.10905776585189862,22174,Transportation Equipment (Autos/Aerospace),Philadelphia
339,0.13102893520602166,32042,Medical Equipment & Misc Manufacturing,Philadelphia
3MS,0.12056834376382829,10546,Manufacturing (Not Specified),Philadelphia
423,0.2018329673037037,28576,Wholesale: Durable Goods,Philadelphia
424,0.19130931096872825,33868,Wholesale: Nondurable Goods (Drugs/Food),Philadelphia
441,0.18821008022504454,35162,Retail: Motor Vehicle & Parts,Philadelphia
444,0.21967418020334228,25671,Retail: Building Material & Garden,Philadelphia
445,0.1269725774209888,79739,Retail: Food & Beverage Stores,Philadelphia
449,0.23440958891756528,17602,"Retail: Furniture, Electronics & Appliances",Philadelphia
455,0.14215523878395578,65915,Retail: General Merchandise (Dept Stores),Philadelphia
456,0.163914104237923,34110,Retail: Health & Personal Care,Philadelphia
457,0.13198708448394889,11588,Retail: Gas Stations & Fuel,Philadelphia
458,0.21495726339708796,30952,"Retail: Clothing, Shoes, Jewelry",Philadelphia
459,0.22382424110473406,35744,"Retail: Sporting Goods, Hobby, Books, Misc",Philadelphia
481,0.10202449727177981,10874,Air Transportation,Philadelphia
484,0.04997686020181936,28166,Truck Transportation,Philadelphia
485,0.02454179662233582,21129,Transit & Ground Passenger Transport,Philadelphia
491,0.00842103332625394,18834,Postal Service,Philadelphia
492,0.047481627224362485,27255,Couriers & Messengers,Philadelphia
493,0.02897741521284421,24170,Warehousing & Storage,Philadelphia
